Order,Family,CommonName,Genus,Species,SubSpecies,SpecificLocation,Sex,M,Mref,K,Linf,GrowthRef,tmax,tmaxRef,Temp
Perciformes,Sparidae,panga,Pterogymnus,laniarius,na,"Agulhas Bank, South Africa",c,0.36,"Booth & Buxton, 1997",0.13,379.4,"Booth & Buxton, 1997",16,"Booth & Buxton, 1997",12
Clupeiformes,Clupeidae,"pilchard, Pacific sardine",Sardinops,sagax,na,"Albany region, Australia",c,0.43,"Fletcher, 1995",0.696,168,"Fletcher, 1995",8,"Fletcher, 1995",17.6
Salmoniformes,Salmonidae,Arctic char,Salvelinus,alpinus,alpinus,"Baffin Island, Canada",c,0.17,"Moore, 1975",0.095,800,"Pauly, 1980",25,"Grainger, 1953",7
Beloniformes,Hemiramphidae,garfish,Hyporhamphus,melanochir,na,"Baird Bay, Australia",c,0.55,"Jones, 1990",0.524,377,"Jones, 1990",10,"Jones, 1990",20
Perciformes,Pomacentridae,Cortez damselfish,Stegastes,rectifraenum,na,Baja California,c,0.402,"Meekan et al., 2001",1.11,107.3,"Meekan et al., 2001",11,"Meekan et al., 2001",24
Perciformes,Carangidae,jack mackerel,Trachurus,novaezelandiae,na,"Bay of Plenty, New Zealand",c,0.18,"Horn, 1993",0.23,377,"Horn, 1993",28,"Horn, 1993",12
Salmoniformes,Salmonidae,brook trout,Salvelinus,fontinalis,na,"Big Indian Lake, Nova Scotia, Canada",c,1.82,"*Alexander & Merrill, 1976",,,,4,"Alexander & Merrill, 1976",6.2
Gasterosteiformes,Gasterosteidae,three-spined stickleback,Gasterosteus,aculeatus,na,"Birket Stream, Cheshire, England",c,1.06,"*Jones & Hynes, 1950",1.16,50.8,"*Jones & Hynes, 1950",4,"Jones & Hynes, 1950",10
Perciformes,Sciaenidae,"blackspotted croaker, ghol",Protonibea,diacanthus,na,"Bombay and Saurashtra waters, India",c,0.855,"Rao, 1968",0.315,1221.4,"Rao, 1966",8,"Rao, 1968",27
Scorpaeniformes,Scorpaenidae,Pacific ocean perch,Sebastes,alutus,na,British Columbia coastal waters,c,0.048,"Archibald et al., 1981",0.126,426,"Archibald et al., 1981",100,"Leaman, 1991",5.4
Scorpaeniformes,Scorpaenidae,silvergray rockfish,Sebastes,brevispinis,na,British Columbia coastal waters,c,0.0483,"Archibald et al., 1981",0.085,568,"Archibald et al., 1981",80,"Archibald et al., 1981",5.4
Scorpaeniformes,Scorpaenidae,canary rockfish,Sebastes,pinniger,na,British Columbia coastal waters,c,0.038,"Archibald et al., 1981",0.139,533,"Archibald et al., 1981",84,"Munk, 2001",5.4
